"customer_id","customer_name","customer_segment","order_details_id","order_id","product_id","quantity","order_discount","order_profits","order_profit_ratio","order_sales","product_name","product_category","product_subcategory","product_manufacturer","order_date","shipping_city","shipping_state","shipping_region","shipping_country","shipping_postal_code","shipping_date","shipping_mode"
"91","Bill Shonely","Corporate","1","CA-2015-100004","122","62","0.1","327","0.39","837","Alphabetical Labels for Top Tab Filing","Office Supplies","Labels","Other","2015-09-06 00:00:00","New York City","New York","East","United States","10011","2015-09-06 00:00:00","Same Day"
"91","Bill Shonely","Corporate","2","CA-2015-100004","764","18","0.2","565","0.26","2174","Global Manager's Adjustable Task Chair, Storm","Furniture","Chairs","Global","2015-09-06 00:00:00","New York City","New York","East","United States","10011","2015-09-06 00:00:00","Same Day"
"224","Dennis Kane","Consumer","3","CA-2015-100006","161","3","0","110","0.29","378","AT&T EL51110 DECT","Technology","Phones","AT&T","2015-09-07 00:00:00","New York City","New York","East","United States","10024","2015-09-13 00:00:00","Standard Class"
"62","Arthur Wiediger","Home Office","4","CA-2015-100032","122","53","0.1","272","0.38","715","Alphabetical Labels for Top Tab Filing","Office Supplies","Labels","Other","2015-09-07 00:00:00","New York City","New York","East","United States","10025","2015-09-13 00:00:00","Standard Class"
"62","Arthur Wiediger","Home Office","5","CA-2015-100032","1342","23","0.1","96","0.31","311","Recycled Premium Regency Composition Covers","Office Supplies","Binders","Other","2015-09-07 00:00:00","New York City","New York","East","United States","10025","2015-09-13 00:00:00","Standard Class"
"62","Arthur Wiediger","Home Office","6","CA-2015-100032","613","16","0.1","407","0.27","1506","Eureka The Boss Plus 12-Amp Hard Box Upright Vacuum, Red","Office Supplies","Appliances","Eureka","2015-09-07 00:00:00","New York City","New York","East","United States","10025","2015-09-13 00:00:00","Standard Class"
"311","Greg Matthias","Consumer","7","CA-2015-100051","812","79","0.2","318","0.35","909","Holmes Odor Grabber","Office Supplies","Appliances","Holmes","2015-09-06 00:00:00","New York City","New York","East","United States","10011","2015-09-12 00:00:00","Standard Class"
"246","Ed Braxton","Corporate","8","CA-2015-100090","1648","6","0.2","69","0.35","197","Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue","Office Supplies","Binders","Wilson Jones","2015-07-08 00:00:00","San Francisco","California","West","United States","94122","2015-07-12 00:00:00","Standard Class"
"246","Ed Braxton","Corporate","9","CA-2015-100090","819","3","0.2","-88","-0.18","502","Hon 2111 Invitation Series Corner Table","Furniture","Tables","Hon","2015-07-08 00:00:00","San Francisco","California","West","United States","94122","2015-07-12 00:00:00","Standard Class"
"388","John Lee","Consumer","10","CA-2015-100136","920","130","0.3","1399","0.41","3413","Imation Clip USB flash drive - 8 GB","Technology","Accessories","Imation","2015-09-05 00:00:00","New York City","New York","East","United States","10011","2015-09-11 00:00:00","Standard Class"
"388","John Lee","Consumer","11","CA-2015-100136","1216","94","0.1","64","0.21","305","OIC Binder Clips","Office Supplies","Fasteners","Other","2015-09-05 00:00:00","New York City","New York","East","United States","10011","2015-09-11 00:00:00","Standard Class"
"388","John Lee","Consumer","12","CA-2015-100136","122","143","0.1","734","0.38","1931","Alphabetical Labels for Top Tab Filing","Office Supplies","Labels","Other","2015-09-05 00:00:00","New York City","New York","East","United States","10011","2015-09-11 00:00:00","Standard Class"
"388","John Lee","Consumer","13","CA-2015-100136","1507","324","0.2","114","0.22","518","Staples","Office Supplies","Fasteners","Other","2015-09-05 00:00:00","New York City","New York","East","United States","10011","2015-09-11 00:00:00","Standard Class"
"388","John Lee","Consumer","14","CA-2015-100136","1600","216","0.1","264","0.34","778","Unpadded Memo Slips","Office Supplies","Paper","Other","2015-09-05 00:00:00","New York City","New York","East","United States","10011","2015-09-11 00:00:00","Standard Class"
"564","Neil Französisch","Home Office","15","CA-2015-100293","1677","6","0.2","32","0.35","91","Xerox 1887","Office Supplies","Paper","Xerox","2015-03-14 00:00:00","Jacksonville","Florida","South","United States","32216","2015-03-18 00:00:00","Standard Class"
"355","Jasper Cacioppo","Consumer","16","CA-2015-100328","1313","1","0.2","1","0.34","4","Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue","Office Supplies","Binders","Pressboard","2015-01-28 00:00:00","New York City","New York","East","United States","10024","2015-02-03 00:00:00","Standard Class"
"376","Jim Mitchum","Corporate","17","CA-2015-100363","326","2","0.2","1","0.35","2","Binder Clips by OIC","Office Supplies","Fasteners","OIC","2015-04-08 00:00:00","Glendale","Arizona","West","United States","85301","2015-04-15 00:00:00","Standard Class"
"376","Jim Mitchum","Corporate","18","CA-2015-100363","1568","3","0.2","7","0.36","19","Things To Do Today Spiral Book","Office Supplies","Paper","Things To Do","2015-04-08 00:00:00","Glendale","Arizona","West","United States","85301","2015-04-15 00:00:00","Standard Class"
"71","Barry Weirich","Consumer","19","CA-2015-100391","1523","2","0","7","0.46","15","Strathmore Photo Frame Cards","Office Supplies","Paper","Strathmore","2015-05-25 00:00:00","New York City","New York","East","United States","10035","2015-05-29 00:00:00","Standard Class"
"447","Kunst Miller","Consumer","20","CA-2015-100678","1306","2","0.2","1","0.38","3","Prang Dustless Chalk Sticks","Office Supplies","Art","Prang","2015-04-18 00:00:00","Houston","Texas","Central","United States","77095","2015-04-22 00:00:00","Standard Class"
"447","Kunst Miller","Consumer","21","CA-2015-100678","396","3","0.2","50","0.34","149","Cameo Buff Policy Envelopes","Office Supplies","Envelopes","Other","2015-04-18 00:00:00","Houston","Texas","Central","United States","77095","2015-04-22 00:00:00","Standard Class"
"447","Kunst Miller","Consumer","22","CA-2015-100678","956","3","0.2","28","0.13","228","Kensington Expert Mouse Optical USB Trackball for PC or Mac","Technology","Accessories","Kensington","2015-04-18 00:00:00","Houston","Texas","Central","United States","77095","2015-04-22 00:00:00","Standard Class"
"447","Kunst Miller","Consumer","23","CA-2015-100678","529","3","0.3","-18","-0.06","317","DMI Arturo Collection Mission-style Design Wood Chair","Furniture","Chairs","DMI","2015-04-18 00:00:00","Houston","Texas","Central","United States","77095","2015-04-22 00:00:00","Standard Class"
"453","Laurel Elliston","Consumer","24","CA-2015-100706","1595","6","0","10","0.33","29","Ultra Door Push Plate","Furniture","Furnishings","Ultra","2015-12-16 00:00:00","Springfield","Virginia","South","United States","22153","2015-12-18 00:00:00","Second Class"
"453","Laurel Elliston","Consumer","25","CA-2015-100706","421","2","0","8","0.08","100","Case Logic 2.4GHz Wireless Keyboard","Technology","Accessories","Other","2015-12-16 00:00:00","Springfield","Virginia","South","United States","22153","2015-12-18 00:00:00","Second Class"
"556","Nat Gilpin","Corporate","26","CA-2015-100762","97","2","0","8","0.5","16","Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book","Office Supplies","Paper","Adams","2015-11-24 00:00:00","Jackson","Michigan","Central","United States","49201","2015-11-29 00:00:00","Standard Class"
"556","Nat Gilpin","Corporate","27","CA-2015-100762","1675","3","0","69","0.48","144","Xerox 1885","Office Supplies","Paper","Xerox","2015-11-24 00:00:00","Jackson","Michigan","Central","United States","49201","2015-11-29 00:00:00","Standard Class"
"556","Nat Gilpin","Corporate","28","CA-2015-100762","889","4","0","46","0.3","152","Hunt PowerHouse Electric Pencil Sharpener, Blue","Office Supplies","Art","Hunt","2015-11-24 00:00:00","Jackson","Michigan","Central","United States","49201","2015-11-29 00:00:00","Standard Class"
"556","Nat Gilpin","Corporate","29","CA-2015-100762","532","2","0","96","0.49","197","Dot Matrix Printer Tape Reel Labels, White, 5000/Box","Office Supplies","Labels","Other","2015-11-24 00:00:00","Jackson","Michigan","Central","United States","49201","2015-11-29 00:00:00","Standard Class"
"166","Cindy Stewart","Consumer","30","CA-2015-100860","1462","5","0","9","0.48","19","Smead Alpha-Z Color-Coded Name Labels First Letter Starter Set","Office Supplies","Labels","Smead","2015-03-26 00:00:00","Pomona","California","West","United States","91767","2015-03-30 00:00:00","Second Class"
"274","Eugene Hildebrand","Home Office","31","CA-2015-100867","1335","6","0.2","20","0.06","322","RCA Visys Integrated PBX 8-Line Router","Technology","Phones","RCA","2015-10-19 00:00:00","Lakewood","California","West","United States","90712","2015-10-24 00:00:00","Standard Class"
"195","Daniel Raglin","Home Office","32","CA-2015-100881","163","3","0.2","23","0.08","302","AT&T TR1909W","Technology","Phones","AT&T","2015-03-28 00:00:00","Albuquerque","New Mexico","West","United States","87105","2015-04-01 00:00:00","Standard Class"
"718","Stewart Visinsky","Consumer","33","CA-2015-100895","1414","2","0","3","0.31","9","Sanford Colorific Scented Colored Pencils, 12/Pack","Office Supplies","Art","Sanford","2015-06-02 00:00:00","Roswell","Georgia","South","United States","30076","2015-06-06 00:00:00","Standard Class"
"718","Stewart Visinsky","Consumer","34","CA-2015-100895","1103","3","0","67","0.28","240","Mophie Juice Pack Helium for iPhone","Technology","Phones","Other","2015-06-02 00:00:00","Roswell","Georgia","South","United States","30076","2015-06-06 00:00:00","Standard Class"
"718","Stewart Visinsky","Consumer","35","CA-2015-100895","866","2","0","107","0.3","357","Hot File 7-Pocket, Floor Stand","Office Supplies","Storage","Other","2015-06-02 00:00:00","Roswell","Georgia","South","United States","30076","2015-06-06 00:00:00","Standard Class"
"284","Frank Hawley","Corporate","36","CA-2015-100916","1417","1","0","1","0.31","3","SANFORD Liquid Accent Tank-Style Highlighters","Office Supplies","Art","Sanford","2015-10-21 00:00:00","Newport News","Virginia","South","United States","23602","2015-10-26 00:00:00","Standard Class"
"284","Frank Hawley","Corporate","37","CA-2015-100916","557","5","0","10","0.05","195","Eldon Base for stackable storage shelf, platinum","Office Supplies","Storage","Eldon","2015-10-21 00:00:00","Newport News","Virginia","South","United States","23602","2015-10-26 00:00:00","Standard Class"
"284","Frank Hawley","Corporate","38","CA-2015-100916","820","4","0","112","0.19","591","Hon 2111 Invitation Series Straight Table","Furniture","Tables","Hon","2015-10-21 00:00:00","Newport News","Virginia","South","United States","23602","2015-10-26 00:00:00","Standard Class"
"223","Dennis Bolton","Home Office","39","CA-2015-100972","1678","3","0","80","0.48","166","Xerox 1888","Office Supplies","Paper","Xerox","2015-11-19 00:00:00","Salt Lake City","Utah","West","United States","84106","2015-11-24 00:00:00","Second Class"
"504","Matt Collins","Consumer","40","CA-2015-101147","1502","1","0.8","-6","-2.65","2","Staple holder","Office Supplies","Appliances","Staple holder","2015-12-02 00:00:00","Chicago","Illinois","Central","United States","60623","2015-12-04 00:00:00","First Class"
"196","Dario Medina","Corporate","41","CA-2015-101175","53","6","0.2","-1","-0.01","101","Acco Perma 3000 Stacking Storage Drawers","Office Supplies","Storage","Acco","2015-12-09 00:00:00","Mesa","Arizona","West","United States","85204","2015-12-14 00:00:00","Standard Class"
"527","Michael Moore","Consumer","42","CA-2015-101266","1689","2","0","6","0.48","13","Xerox 1898","Office Supplies","Paper","Xerox","2015-08-27 00:00:00","Springfield","Virginia","South","United States","22153","2015-08-30 00:00:00","Second Class"
"734","Tamara Willingham","Home Office","43","CA-2015-101364","999","13","0.2","100","0.34","297","Lock-Up Easel 'Spel-Binder'","Office Supplies","Binders","Other","2015-12-22 00:00:00","New York City","New York","East","United States","10011","2015-12-26 00:00:00","Standard Class"
"42","Ann Steele","Home Office","44","CA-2015-101392","112","7","0","70","0.26","269","Advantus Rolling Drawer Organizers","Office Supplies","Storage","Advantus","2015-12-07 00:00:00","Seattle","Washington","West","United States","98103","2015-12-13 00:00:00","Standard Class"
"37","Andy Yotov","Corporate","45","CA-2015-101427","590","3","0.2","1","0.14","8","Eldon Spacemaker Box, Quick-Snap Lid, Clear","Office Supplies","Art","Eldon","2015-12-26 00:00:00","Philadelphia","Pennsylvania","East","United States","19140","2015-12-30 00:00:00","Standard Class"
